"AppID","Name","Achievements"
"1082240","Taboos: Flower","100"
"984720","Hentai Summer","100"
"928610","aMAZE ABC","100"
"2078160","Poly Puzzle: Primates","100"
"1758120","Puzzle Art: Dogs","100"
"1371110","labyrinth 2","100"
"1088880","Пацанский цитатник / Russian Test","100"
"1013130","Happy Anime Puzzle","100"
"1786290","Puzzle Art: Reptiles","100"
"1209450","Potion Commotion","100"
"1841390","100 hidden fish","100"
"1023370","Hentai Super Girl","100"
"1428320","Achievement Killer","100"
"1275640","Coloring Game 3","100"
"1873040","Poly Memory: Dogs","100"
"932930","Sexy Girls Puzzle","100"
"1210830","labyrinth","100"
"1202640","Hentai Tights","100"
"704020","Master Arena","100"
"1395060","EQ - Countries","100"
"1708190","100 hidden rams","100"
"1006930","Hentai Jigsaw Puzzle","100"
"1197990","Shoot, push, portals","100"
"1448290","Roce's Journey","100"
"1765310","Halloween is Crazy as Hell","100"
"1839750","POG 6","100"
"1225810","FOS","100"
"1560320","Endless Furry Pinball 2D","100"
"1573350","Coastline Flight Simulator","100"
"1602990","POG","100"
"1504220","The Penguin IQ Test","100"
"1472960","Chill IV","100"
"1856730","Poly Puzzle: Dogs","100"
"1848280","Pirates of the Maverta","100"
"1767890","Puzzle Art: Cats","100"
"1070330","Russian Life Simulator","100"
"1500310","Choco Pixel D","100"
"1635030","Charming Girls","100"
"991530","Choice or Fate","100"
"1144350","Hunger Tower","100"
"1857580","Get Achievements for Achievements","100"
"1815860","Maze Art: Black","100"
"1616580","Ninja Frog","100"
"1854730","Mental Math Tutor","100"
"1237220","Hentai Thigh","100"
"941350","Connectome:Pain Control","100"
"1092650","GraFi 2","100"
"1263370","Seek Girl:Fog Ⅰ","100"
"827920","Bounce","100"
"1293230","House of Detention","100"
"1212620","Pretty Neko","100"
"1152020","Return Of The Zombie King","100"
"1481660","Sun Girls","100"
"1804450","Kingdom of Maverta","100"
"1815880","Maze Art: Blue","100"
"1767940","Puzzle Art: Birds","100"
"1965970","Quantum Tripper","100"
"1581170","The Hundred Year Kingdom","100"
"1349290","BAFF F","100"
"1482580","Chill X","100"
"1181600","Jetboard Joust","100"
"1545260","Stickman Escape","100"
"1505570","labyrinth 3","100"
"1786250","Puzzle Art: Artiodactyls","100"
"288080","BoneTown: The Second Coming Edition","100"
"1454580","Trump VS Covid: Save The World Clicker","100"
"1251410","Golf Ace","100"
"1818840","Maze Art: Yellow","100"
"1129700","Synzzball","100"
"1450280","Chill Z","100"
"963370","PRiCERPG","100"
"916580","Hentai Puzzle X","100"
"919440","闇行者 Dark Xingzer","100"
"983280","Chocolate makes you happy: New Year","100"
"1006880","Chocolate makes you happy: Valentine's Day","100"
"1287810","Shattered Hourglass","100"
"203290","America's Army: Proving Grounds","100"
"1214500","GraFi Lunar","100"
"1559920","The Game For Skippers","100"
"1181220","aMAZE Gears 2","100"
"932730","Formula XD","100"
"1818830","Maze Art: Red","100"
"748940","Rise of Legions","100"
"1136030","Apple Pop","100"
"942520","Thrusty Ship","100"
"1751780","Perfectly Balanced","100"
"1767700","Kid Hallow","100"
"1058270","Inn Legend","100"
"455300","Deuterium Wars","100"
"978450","Data mining 3","100"
"1549030","100 hidden snails 2","100"
"1399300","SOK PRO","100"
"1254590","Choco Pixel 3","100"
"945890","Hentai no Hero","100"
"1017350","aMAZE St.Patrick","100"
"1446330","100 hidden snails","100"
"1761320","Poly Puzzle: Furries 2","100"
"1032770","Haprokon","100"
"1065890","LOGistICAL 2: France","100"
"1192640","Hentai Mosaique Neko Waifus","100"
"1473050","100 hidden birds","100"
"1651680","The Colorful Creature","100"
"1564590","Easy Quiz","100"
"1091940","Game Of Puzzles: Furry","100"
"1017100","Territory Idle","100"
"1274610","LesLove.Club: Emily and Sarah","100"
"91700","E.Y.E: Divine Cybermancy","100"
"1929930","Elite School Roof Club","100"
"1709180","Solitaire Expeditions","100"
"1216610","Hentai Pansuto","100"
"1519000","Confusing game","100"
"1349040","Furry Love 2","100"
"1482860","Idle Research","100"
"1912630","Champs TD","100"
"2099370","PIP","100"
"2007080","AsteroIdle","100"
"2080420","Vault Circuit","100"
"2098210","Poly Memory: Primates","100"
"2014930","A Last Will and TESTament: Horror adventure","100"
"2115470","PIP 2","100"
"2115480","Poly Puzzle: Predators","100"
"2104790","Griddy","100"
"1233410","MicroWorks","100"
"2013900","100 hidden turtles","100"
