"AppID","Name","Price"
"1693750","Ironfell","0,00"
"1636090","The Bookwalker Playtest","0,00"
"1582210","Fast Finger Rule","0,00"
"1989990","Touhou Crisis","0,00"
"585290","Lifeline","0,00"
"1839250","ENDLESS WAR","0,00"
"1634830","Keep Trying! Zombie Apocalypse","0,00"
"688180","80.08","0,00"
"1685300","Verdict","0,00"
"629540","Alien Arena: Warriors Of Mars","0,00"
"531990","Egg Time","0,00"
"1288030","BoxxyQuest: The Gathering Storm","0,00"
"428610","Longsword - Tabletop Tactics","0,00"
"982710","Cop Academy","0,00"
"1141770","Rage Melee","0,00"
"2069590","Radial Flow Playtest","0,00"
"1366060","Refraction","0,00"
"1086270","Space BloX","0,00"
"298240","War Trigger 3","0,00"
"1328220","CHALICE","0,00"
"1266560","鋼鉄戦記C21","0,00"
"1471210","HordeCore Playtest","0,00"
"792050","Beneath The Surface","0,00"
"1186670","Fateless","0,00"
"589420","Grass Cutter - Mutated Lawns","0,00"
"1070800","Depths of Madness","0,00"
"1662230","Cowboy Life Simulator: Prologue","0,00"
"678450","Full-On Paintball","0,00"
"872790","Football Manager 2019","0,00"
"501470","Hold the door!","0,00"
"1106750","Fault: Elder Orb","0,00"
"628190","決戰亞爾薩/Heroes of Arzar","0,00"
"1196880","World Of Conquerors - Origins","0,00"
"1816360","Dysterra Playtest Dedicated Server","0,00"
"1042110","BreakFest","0,00"
"831490","Draw Near","0,00"
"1807560","Blade Walker","0,00"
"1714840","Circle Empires Tactics Playtest","0,00"
"779650","Ready Player One: OASIS beta","0,00"
"545820","Wanderland","0,00"
"907350","Welcome To... Chichester 2 - Part I : The Spy Of Chichester And The Eager Tourist Guide HD Edition","0,00"
"893150","Fury Strike","0,00"
"387970","Clown House (Palyaço Evi)","0,00"
"668770","Solarium","0,00"
"1113850","Sanguine Soul","0,00"
"574440","Ripple Effect","0,00"
"722290","HikeJam","0,00"
"1832140","Epic Tower for Tireless Lovers","0,00"
"548280","NeonBall","0,00"
"1456230","Cthulhu: Death Escape / 克苏鲁:死亡逃脱 Prototype","0,00"
"748420","Beat the Blitz","0,00"
"1394640","Dark Room VR","0,00"
"823830","Frightened Beetles","0,00"
"1567420","Dinner with an Owl","0,00"
"787450","KOEWOTAYORINI / 声之寄托","0,00"
"1984300","HORROR TYCOON Playtest","0,00"
"853780","BlubBlub: Quest of the Blob","0,00"
"946070","Abstract","0,00"
"760050","Nightwolf: Survive the Megadome","0,00"
"527270","Atelier Sophie: The Alchemist of the Mysterious Book","0,00"
"1489130","Buildodge","0,00"
"1568650","*NEW* SCUFFED EPIC VISUAL NOVEL","0,00"
"1901200","FPS Game: Dev Test","0,00"
"1390380","Wolf's Gang","0,00"
"1954500","百战斗斗堂","0,00"
"1902720","奇怪的RPG Playtest","0,00"
"1073390","Aircar","0,00"
"252570","Depths of Fear :: Knossos","0,00"
"934520","RAYGUN COMMANDO VR 2","0,00"
"1554530","Dreams and Nightmares","0,00"
"1385210","Impulse, From Here!","0,00"
"1764310","Omegabot Playtest","0,00"
"1340910","From The Grave","0,00"
"1480960","Godsbane","0,00"
"524970","Helmet Heroes","0,00"
"1828400","Ghoul Dungeon","0,00"
"1261160","扶搖直上","0,00"
"1753410","King of Kinks","0,00"
"1533390","Gorilla Tag","0,00"
"435060","GameLooper","0,00"
"771450","ERROR: Human Not Found","0,00"
"452490","The Cubicle.","0,00"
"2072390","Midnight Zone Playtest","0,00"
"1972010","Samsara Playtest","0,00"
"412220","DDraceNetwork","0,00"
"443580","Antenna","0,00"
"1019250","WWII TCG - World War 2: The Card Game","0,00"
"849168","Shadow of the Tomb Raider: Definitive Edition","0,00"
"364710","Wonky Pigeon!","0,00"
"1154420","Tech Support 2077","0,00"
"446770","Skeet: VR Target Shooting","0,00"
"1862090","Buggy Game Playtest","0,00"
"498850","Ortus Arena, strategy board game online, FOR FREE","0,00"
"1568500","Traversing Traveler","0,00"
"1525150","Prometheus Playtest","0,00"
"1638930","GoBlaster","0,00"
"398970","none","0,00"
"1097870","Polyrun","0,00"
"1713200","Tales of Komori: Prologue","0,00"
"557880","Say Goodbye","0,00"
"397040","Sphere 3: Rage of the Devastator","0,00"
"303710","Monomino","0,00"
"1921270","Alcohol Empire","0,00"
"1745430","Beasts of Burden","0,00"
"1963580","The Lizartian","0,00"
"348800","Chester One","0,00"
"1890720","American Theft 80s Playtest","0,00"
"1849780","manaCompiler Playtest","0,00"
"1150910","Book of Beasts — The Collectible Card Game CCG","0,00"
"1447920","Video World","0,00"
"1641020","my brother lives in a canyon","0,00"
"955250","Weirdest Thing","0,00"
"1750250","Mirror Layers Playtest","0,00"
"258200","Talisman: Prologue","0,00"
"1841270","Unstrong","0,00"
"1601850","Greedy Goblin","0,00"
"1649540","Dash Lamb","0,00"
"947530","The Cup","0,00"
"1605890","To the Max","0,00"
"433320","Marvel: Ultimate Alliance 2","0,00"
"1702140","Left to Survive: Shooter PVP","0,00"
"1692430","Larry The Unlucky Part 1","0,00"
"658230","Chambered","0,00"
"861260","Synthetic Love","0,00"
"1912460","The Creature of Chaos","0,00"
"1096710","Hello Neighbor Alpha 4","0,00"
"1547070","Wow Dance","0,00"
"1532190","Halo: CE Mod Tools - MCC","0,00"
"1412570","Monster Hunter Stories 2: Wings of Ruin Trial Version","0,00"
"667890","Dead Maze","0,00"
"1498770","Turmoil Playtest","0,00"
"1534430","Play The Fox","0,00"
"840060","Good Doggo","0,00"
"1824330","Escape from MLC Playtest","0,00"
"695360","Veritex","0,00"
"1424930","DMM Connect Chat","0,00"
"346320","Streets of Chaos","0,00"
"1988630","佩尔霍宁","0,00"
"517680","A dead world's dream","0,00"
"1472760","Heart in the Dark Playtest","0,00"
"435740","CyberLink AudioDirector 6","0,00"
"1093720","SlipSlop: World's Hardest Platformer Game","0,00"
"958720","Second Chance","0,00"
"492630","Bear With Me - Episode One","0,00"
"831810","Bane of Asphodel","0,00"
"620700","EVIL POSSESSION","0,00"
"1853260","What Lies in the Multiverse - Prologue","0,00"
"1440050","Объемная История","0,00"
"1731590","Squadron 51 - Prologue","0,00"
"1584040","Astonia Resurgence","0,00"
"346300","Containment Protocol","0,00"
"1828220","Walk with the Living","0,00"
"291550","Brawlhalla","0,00"
"1549980","Dairy Dave","0,00"
"470130","Eclipse --- Defending the motherland","0,00"
"1772630","Huckleberry Fields Forever Playtest","0,00"
"1064420","Phucker in the Gulag","0,00"
"1834160","Classic Card Games 3D Playtest","0,00"
"1740710","Three Pigeons in a Trench Coat","0,00"
"1573080","Recoiled","0,00"
"1843420","Motorcycle Travel Simulator","0,00"
"1469760","Project Genesis Playtest","0,00"
"1116030","Oceanum Mortis","0,00"
"803930","Galactic Bulwark Strike","0,00"
"1667920","SUPERゆきおんなちゃん","0,00"
"1397010","1980","0,00"
"880850","War Rock","0,00"
